date,W_up_gamma,W_up_gamma_5,W_down_gamma,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2016-09-27,8576.259501977751,11281.695503480752,4087.65552746842,5119.843341836715,2705.4360015030015,1032.1878143682948
2016-09-29,8748.940729331192,11350.174510292896,4969.1585539377365,6931.755882728514,2601.233780961704,1962.5973287907773
2016-10-04,8552.079395564133,11245.962151325506,4946.6199665292415,6619.575422298211,2693.882755761373,1672.9554557689698
2016-10-11,11749.633867208744,14704.655913756811,6785.699249763575,9338.07771459551,2955.022046548067,2552.378464831936
2016-10-13,14455.289258603705,18393.989865966938,5898.948723706766,8111.147772252696,3938.700607363233,2212.19904854593
2016-10-14,13402.989481640583,16077.514957627736,8290.605922803266,11935.139450384582,2674.525475987153,3644.533527581316
2016-10-17,12945.627942290217,15985.89677714232,9060.993381740347,12729.585807747137,3040.2688348521024,3668.5924260067895
2016-10-18,14296.66371443941,17423.047275351888,8382.433256669145,12313.540300270899,3126.383560912478,3931.1070436017544
2016-10-19,12527.593498548742,16179.43837799255,6626.314126736704,10251.410359316884,3651.844879443808,3625.09623258018
2016-10-20,13036.859924527043,17034.458157565772,6347.949303164497,10184.033120339214,3997.5982330387287,3836.0838171747173
2016-10-21,15033.50327277144,19473.997404139227,7175.241704352779,11141.094790530151,4440.494131367786,3965.8530861773716
2016-10-24,14962.614758703081,19841.509627331514,7236.783353362811,11249.304273802634,4878.894868628433,4012.5209204398234
2016-10-26,14267.0432794464,20003.86351319903,5476.210536211887,8605.203170250805,5736.820233752631,3128.9926340389175
2016-10-27,12497.138172606092,17283.921443091233,8927.386845301513,13164.568369841347,4786.783270485141,4237.181524539834
2016-10-31,14917.26335652441,21364.573728799533,5880.440804086412,9921.54020860561,6447.310372275122,4041.0994045191974
2016-11-01,12852.227769712714,17555.049700934327,8648.837117784587,14599.7305609652,4702.821931221613,5950.893443180612
2016-11-02,13067.664790114406,18480.851953866862,7862.462099559246,12826.586591577114,5413.187163752456,4964.124492017868
2016-11-03,13965.1799844104,19558.045931364282,7557.886135862633,13146.299651518479,5592.865946953882,5588.413515655846
2016-11-04,14215.611476357382,20901.32606559956,8117.171936790459,12743.337049750247,6685.714589242176,4626.1651129597885
2016-11-07,14321.330913446482,20653.908002056683,8288.469155095896,13354.605077257855,6332.577088610202,5066.135922161959
2016-11-08,12949.938155492133,19895.900440713674,4845.347264636312,9111.101935177161,6945.962285221542,4265.7546705408495
2016-11-09,13412.940134983204,19666.818934505554,8260.519834823312,14173.340575590837,6253.87879952235,5912.820740767525
2016-11-10,14041.573190394178,22374.481329993287,4480.904995387894,8281.844995306257,8332.908139599109,3800.9399999183634
2016-11-11,13510.701152001622,22189.234125758594,4200.354135059262,7822.362131274584,8678.532973756972,3622.0079962153213
2016-11-14,13443.66788416149,21733.383273052812,5761.96398696908,10411.642020420715,8289.715388891322,4649.678033451635
2016-11-15,15333.652402213731,26559.925334053987,3401.966102668156,5416.174994838783,11226.272931840256,2014.2088921706272
2016-11-16,18093.10758606972,27033.324356339323,3101.447279373916,5056.692481215918,8940.216770269602,1955.2452018420017
2016-11-17,16300.035738509421,28317.699374064734,3097.816836527628,4902.949291527745,12017.663635555313,1805.1324550001173
2016-11-18,13850.614130542872,24475.811629963453,3695.3450753834136,7351.594688443956,10625.197499420581,3656.2496130605427
2016-11-21,14767.653475378553,22873.2001779617,3934.4310330463586,6791.144406883307,8105.546702583146,2856.7133738369484
2016-11-22,12195.577623426685,19443.144034496607,3858.982258136485,7175.594805962246,7247.566411069922,3316.612547825761
2016-11-24,15287.199045399526,24795.768347587706,3045.857249907969,5912.502081531173,9508.56930218818,2866.6448316232036
2016-11-25,10448.467601614151,17879.05326017365,3170.4737337744273,4227.889155407739,7430.5856585594975,1057.4154216333118
2016-11-28,12720.8632767795,15616.711531314744,2198.09294464426,2938.5764491457066,2895.8482545352435,740.4835045014465
2016-11-29,12494.11337592586,15895.066651187652,2551.064451683356,3281.286571025549,3400.9532752617924,730.2221193421933
2016-11-30,15234.697936525736,19005.77509890541,1943.6751522689033,2591.865111399836,3771.0771623796754,648.189959130933
2016-12-01,14656.015580162448,18758.334713140368,2292.272372580742,2880.5074413854795,4102.31913297792,588.2350688047377
2016-12-02,15109.626301868266,19632.880650461255,2188.150243608612,2643.2812615244247,4523.254348592989,455.13101791581266
2016-12-05,15932.747042541412,19748.263030445174,3406.631117180086,4029.398521884156,3815.515987903762,622.7674047040696
2016-12-06,14442.165124407938,17480.109464415895,3533.7186599652086,4237.652697982105,3037.9443400079563,703.934038016896
2016-12-07,13850.994747696128,17079.701526279034,3483.2138733574993,4551.22297683969,3228.706778582906,1068.0091034821908
2016-12-08,13511.439608689234,17740.67011263314,3816.4510488963615,4562.089242732783,4229.230503943905,745.6381938364211
2016-12-09,15796.300834573523,19433.82114858931,3555.6241588634794,5184.595732762724,3637.5203140157882,1628.9715738992445
2016-12-12,13131.952108590776,16069.532938244309,5534.130697649879,8245.590111184394,2937.5808296535324,2711.459413534515
2016-12-13,12648.58717518247,15914.679780094893,5157.504197509297,7283.399805411001,3266.0926049124228,2125.8956079017034
2016-12-14,13291.179793250434,17016.286351477276,5296.2530039093845,7278.709413366919,3725.106558226842,1982.4564094575344
2016-12-15,13006.2428254831,17054.66121478274,5531.14877246134,8520.0329348154,4048.4183892996407,2988.8841623540593
2016-12-16,19362.307632661603,24214.71352910767,5577.4652242267985,7497.255648185028,4852.405896446067,1919.7904239582294
2016-12-19,20424.450868235646,25432.330279895075,5433.008072731719,7266.168687238069,5007.879411659429,1833.1606145063497
2016-12-20,19906.418130511516,25722.746341243663,4227.1187087084,5940.456289138461,5816.3282107321465,1713.3375804300613
2016-12-21,18858.761719998594,24648.30327266666,4358.62032732982,5776.950640694104,5789.541552668066,1418.330313364284
2016-12-22,21489.815217383883,28110.475729576654,3027.455523671032,3884.868268245946,6620.660512192771,857.4127445749141
2016-12-26,22049.199905152174,28202.44592503653,3845.0964218759273,4763.434810334462,6153.246019884355,918.3383884585346
2016-12-27,15211.981492515033,19086.870183681174,3349.9894057787055,4108.5155420025885,3874.888691166141,758.526136223883
2016-12-28,19489.450791252635,23416.827187867097,5913.44907939337,8348.52529689525,3927.3763966144616,2435.07621750188
2016-12-29,21167.765334727228,26389.448907646503,5458.823501871017,7074.029738422279,5221.683572919275,1615.206236551262
2017-01-02,19492.528306172997,24515.055292841243,6767.114418179541,8892.764321823859,5022.5269866682465,2125.6499036443183
2017-01-03,15063.909029211885,17977.59650534974,4399.522244107362,5804.501745455141,2913.687476137853,1404.9795013477788
2017-01-04,21807.295052372294,27509.873985722432,7098.635411227956,9551.520686660755,5702.578933350138,2452.885275432799
2017-01-05,18288.557429520562,22742.87637616958,10207.97952841914,15839.53825301915,4454.3189466490185,5631.558724600009
2017-01-06,15293.535271928475,19244.422560135605,12458.835641848986,19449.045280451974,3950.88728820713,6990.209638602988
2017-01-09,15784.45578422262,19914.986155107817,11853.848408541242,18598.39319647521,4130.530370885197,6744.544787933966
2017-01-10,14301.237378995973,18051.724334642702,11699.627949532449,19267.643763664382,3750.4869556467293,7568.015814131933
2017-01-11,14648.53711239473,19019.824519909725,12041.459517559,19229.919539272072,4371.287407514996,7188.460021713072
2017-01-12,20395.78143408866,26014.227368502747,10939.238464186546,16485.01227834916,5618.445934414085,5545.773814162614
2017-01-16,17507.76238862921,22597.830258427075,10859.037281631097,18879.130688401896,5090.067869797866,8020.0934067707985
2017-01-17,11037.76750803242,14837.623933727806,8758.990412727851,13487.999024838266,3799.856425695385,4729.008612110414
2017-01-18,13507.38352806151,18017.668216948863,10040.54105524558,18995.724676163925,4510.284688887354,8955.183620918346
2017-01-19,13320.907144034929,18331.438733777843,10464.466596121241,19364.348545737754,5010.531589742914,8899.881949616512
2017-01-20,14127.52111422054,20376.299929471083,9239.51831825657,16628.289999824327,6248.778815250542,7388.771681567756
2017-01-23,12549.63482378767,17507.02069033192,7661.118001674018,14795.17934746941,4957.385866544249,7134.061345795391
2017-01-24,12312.39272943114,16974.815203343394,9557.381829661861,18799.366026082418,4662.422473912255,9241.984196420557
2017-01-25,11286.84795772872,17230.040945077806,8795.013218855285,16626.2025744217,5943.192987349086,7831.189355566414
2017-01-26,12694.756763845513,19420.78549735888,8321.660161418686,15880.405910659863,6726.028733513367,7558.745749241178
2017-01-27,10518.987701965672,14384.809482753864,8511.715331460638,15317.537891840719,3865.821780788192,6805.82256038008
2017-01-30,9997.159700136935,14649.486278397144,6836.183903364701,12822.260090944914,4652.326578260208,5986.076187580213
2017-01-31,12821.168288907807,19024.434369511808,7270.783595794888,12244.493507680816,6203.266080604,4973.709911885928
2017-02-01,10499.445216681464,16212.340978307438,9903.157767870394,15784.2419730232,5712.895761625974,5881.084205152805
2017-02-02,12552.007193035146,17387.699747800438,9966.51952638054,18498.175760946553,4835.692554765292,8531.656234566013
2017-02-03,12062.696054493019,16102.63561014521,8758.909045052236,17340.118331498295,4039.9395556521904,8581.20928644606
2017-02-06,10748.354707766417,15673.732044841216,6304.776077581833,13731.39577694237,4925.377337074799,7426.619699360537
2017-02-07,11779.710326736533,17745.378294361475,7341.559156747874,13051.94304346374,5965.667967624942,5710.383886715866
2017-02-08,10510.573741568252,15150.671609685904,6039.453235741138,12050.13650656832,4640.097868117651,6010.683270827182
2017-02-09,11037.528422015432,15708.920382569266,9345.601816300237,16543.92306028803,4671.391960553834,7198.321243987793
2017-02-10,10905.624674541115,15203.43395896085,9313.083816868513,19835.818834398353,4297.8092844197345,10522.73501752984
2017-02-13,10831.759967986793,14575.668207823013,8694.651333340258,19114.68739614198,3743.9082398362207,10420.036062801722
2017-02-14,11489.798283046932,14970.453234769324,8275.128807222192,18621.922151323644,3480.654951722392,10346.793344101452
2017-02-15,10302.687464212766,14527.842628016171,7554.1979105441615,17073.690384005535,4225.155163803405,9519.492473461374
2017-02-16,10568.408897467229,14596.090197264995,7428.908404193139,17210.786125971994,4027.6812997977668,9781.877721778856
2017-02-20,15121.981950818465,20470.99134959761,8891.504379923643,18504.455994783733,5349.009398779146,9612.95161486009
2017-02-21,12582.443520074921,18633.349366058075,8216.780653665548,17338.75573901124,6050.905845983154,9121.975085345694
2017-02-22,13054.595549299263,19859.154491160793,8457.154627558624,16765.81233037995,6804.558941861529,8308.657702821327
2017-02-23,12171.478340985876,17328.640889968858,11856.839811331263,23000.077188371397,5157.162548982982,11143.237377040134
2017-02-24,12836.385198900614,17710.724996019948,10018.525021680658,20517.86677719358,4874.3397971193335,10499.341755512922
2017-02-28,14948.363473731884,18333.500834634146,5790.644674627527,8580.384073868185,3385.137360902261,2789.739399240658
2017-03-01,15698.835026532413,18948.431874532682,6671.177005027145,9940.964528387654,3249.5968480002684,3269.787523360509
2017-03-02,12988.468935007737,15252.518858354473,9786.48019928961,14275.444992524766,2264.0499233467363,4488.964793235156
2017-03-03,14384.438884463609,17347.948358695758,10054.654191117219,13566.088067857025,2963.509474232149,3511.433876739806
2017-03-06,15344.043556475302,18624.955420933282,10123.158339008474,13807.454027951922,3280.9118644579794,3684.295688943448
2017-03-07,14811.613118485253,17774.8847325773,10916.635703959439,15838.892215565964,2963.2716140920456,4922.256511606525
2017-03-08,14166.783609797703,17311.22082400213,9661.976148248552,14166.735607870693,3144.437214204425,4504.759459622141
2017-03-09,17799.659201422077,22476.423295601497,7609.2163270624305,10058.223033457049,4676.76409417942,2449.006706394618
2017-03-10,18550.42387614787,24176.562968334307,7856.1741446600645,10370.823728509005,5626.139092186437,2514.649583848941
2017-03-13,20991.491755879535,27734.28051638522,6759.136206856261,9136.645960387394,6742.788760505686,2377.5097535311324
2017-03-14,20752.67996875024,28847.535720591117,5170.37156093753,7145.800695579771,8094.855751840878,1975.4291346422406
2017-03-15,20122.89749487061,28355.262635791012,4888.680289418096,6692.791317885858,8232.365140920403,1804.1110284677616
2017-03-16,19997.322779827657,27226.864763778558,7069.999854215938,9820.854151689242,7229.541983950901,2750.8542974733036
2017-03-17,20438.438630675926,27498.659380452777,7543.120601536555,10226.610351454525,7060.22074977685,2683.4897499179697
2017-03-20,20829.478976503535,28393.895224983033,8508.24421090771,11518.987321550934,7564.416248479498,3010.743110643225
2017-03-21,21623.78263351739,30648.344589378932,6632.610699153908,9445.414834308935,9024.561955861544,2812.8041351550264
2017-03-22,20500.081539414303,29271.63458201171,7579.640872236122,10206.513671496092,8771.553042597407,2626.8727992599697
2017-03-23,21142.631285017258,29159.17032560792,6848.013708131608,9312.87194099404,8016.539040590662,2464.8582328624325
2017-03-24,19671.980401330766,27155.288799316437,6839.427035347634,9237.273842603701,7483.308397985671,2397.846807256067
2017-03-27,18224.31569538024,24614.23455437429,6872.0158426537555,9825.778476116357,6389.9188589940495,2953.762633462601
2017-03-28,19074.783862655644,25977.66885529957,6555.705285754816,8430.952558614305,6902.884992643925,1875.2472728594885
2017-03-29,20275.327307881762,27087.773362157848,5975.209451113706,8451.165394063477,6812.446054276086,2475.9559429497713
2017-03-30,20726.380348429622,28116.733500106908,7839.9954406910165,11662.408275254526,7390.3531516772855,3822.412834563509
2017-03-31,20183.755642230044,28802.504039993735,8406.566277790625,11926.494615415942,8618.748397763691,3519.928337625317
2017-04-03,21622.466126601368,30320.78977505879,7956.765874148914,12595.997674606671,8698.323648457423,4639.231800457757
2017-04-04,18581.281441089617,26832.434003253304,7072.84349987042,12069.858669907402,8251.152562163687,4997.015170036982
2017-04-05,17009.69726559157,25112.62145283199,7441.006619243931,12049.728112116463,8102.92418724042,4608.7214928725325
2017-04-06,16825.933242551015,24943.2062147984,8762.0294690461,14025.246271178557,8117.272972247385,5263.216802132458
2017-04-07,19020.377342246135,29123.757060931806,7415.67098642189,11774.583362212266,10103.379718685672,4358.912375790376
2017-04-10,19496.197750969273,28828.1875339955,7538.079204847757,12440.22135962312,9331.989783026227,4902.1421547753625
2017-04-11,16750.073356186644,23786.05711929196,8975.82455138751,14637.979711003447,7035.983763105316,5662.155159615937
2017-04-12,16982.914895747126,23326.55672312746,9286.39806652163,15829.463915591143,6343.641827380336,6543.065849069513
2017-04-14,17547.79439358197,24862.18358025839,9619.402931034872,14779.179303144318,7314.389186676417,5159.776372109445
2017-04-17,16356.135256873305,25085.343887288425,8932.198307673254,13439.209757311328,8729.20863041512,4507.011449638074
2017-04-19,20008.052543495447,29024.942467321966,8413.937875263566,14370.477232256882,9016.889923826518,5956.539356993317
2017-04-20,21727.402870173577,29267.380816213725,8153.373957233096,13318.640405937405,7539.977946040148,5165.266448704309
2017-04-21,23300.31296989318,31730.552649282956,6261.413881005681,8498.304392827493,8430.239679389775,2236.8905118218117
2017-04-24,24898.03296454085,31951.493242865177,7214.339809969428,9192.288343075466,7053.460278324328,1977.9485331060387
2017-04-25,24814.105362515602,32402.57517163335,5246.133655122172,6976.726696261594,7588.469809117749,1730.593041139422
2017-04-27,24814.207771806894,31349.136906879037,7788.917930018622,10595.514769427404,6534.929135072143,2806.5968394087813
2017-04-28,23503.624075242617,29321.096489225358,11714.251726621118,15363.931335553387,5817.472413982741,3649.679608932269
2017-05-01,26581.282829272965,32297.678218856276,12066.59897578295,16098.140858160143,5716.395389583311,4031.5418823771925
2017-05-03,23528.583091527424,28194.3333652915,15658.462768118183,24132.411595545174,4665.750273764075,8473.948827426992
2017-05-05,32719.23836284032,40283.50968823404,13294.108005411186,18124.32906026302,7564.271325393718,4830.221054851832
2017-05-09,29034.275490076623,39191.81979382519,11002.470623007306,15586.718626139853,10157.544303748567,4584.248003132547
2017-05-10,26942.985000970548,38202.413195570865,6941.942658683229,10923.310985470476,11259.428194600318,3981.3683267872475
2017-05-16,25885.79728583456,38647.38464449189,6576.314437507599,10228.62861552553,12761.587358657329,3652.3141780179303
2017-05-25,23030.26183453313,34317.38511050793,9315.405601254111,14150.906633951401,11287.123275974802,4835.50103269729
2017-05-31,21286.75806477436,32679.00998380301,5290.867506640161,9469.684256587025,11392.251919028651,4178.816749946864
2017-06-02,23663.18765588494,33647.03103498017,5760.287165197863,10286.839194715492,9983.843379095233,4526.552029517629
2017-06-09,18709.68322018184,26986.640629314472,10723.307116226111,21050.196724632853,8276.957409132632,10326.889608406742
2017-06-12,19843.085302547534,28943.17727566503,9498.199851284182,18310.093281445937,9100.091973117498,8811.893430161756
2017-06-14,19680.311608838652,30756.53192510606,9327.434365490364,20687.21825551404,11076.220316267409,11359.783890023675
2017-06-15,18794.347392852196,30633.024004543382,9895.318174493888,19792.39097098856,11838.676611691186,9897.072796494671
2017-06-16,18327.92263314271,28517.545449941503,10880.779666836213,24408.010337153446,10189.622816798794,13527.230670317233
2017-06-19,17309.02567686026,27521.967219584716,11378.541672193498,25079.407110139437,10212.941542724457,13700.865437945939
2017-06-20,17532.65256502987,25435.572848628923,10750.219996776961,19033.976642958616,7902.920283599051,8283.756646181655
2017-06-22,15232.732253850878,22087.907414256944,9859.791523065525,21646.765297661594,6855.175160406066,11786.973774596068
2017-06-23,15844.868225345012,21777.840831986443,8145.58776276053,12485.05779109315,5932.972606641431,4339.47002833262
2017-06-26,14890.3915025448,17710.425109793792,8872.438159868118,12648.440303873987,2820.0336072489918,3776.00214400587
2017-06-27,16275.435200959193,20247.527540050865,7005.076998740123,10250.180867233477,3972.0923390916723,3245.1038684933546
2017-06-28,14904.461197108523,18636.145135412884,6705.3186169956,10308.021329097228,3731.6839383043607,3602.702712101628
2017-06-30,13978.474833404254,16040.350647826504,11430.384887764989,18074.60818846927,2061.87581442225,6644.22330070428
2017-07-03,11729.81560469621,13479.311349691878,10426.69882465921,17422.015981234472,1749.4957449956673,6995.317156575262
2017-07-04,9688.915045118041,11263.421291409397,10014.698217360385,15936.348993404696,1574.5062462913556,5921.650776044311
2017-07-06,9687.12289465144,10714.760114835584,12687.827684248252,18645.15021726155,1027.637220184144,5957.322533013299
2017-07-07,12297.271707930126,14109.387675195258,15121.946496104541,21813.30420115733,1812.115967265132,6691.357705052789
2017-07-10,14446.421573205145,16851.267017215607,15607.836361108712,22648.4028500625,2404.8454440104615,7040.5664889537875
2017-07-11,12873.994775820707,14737.386216419298,14901.293272680603,21931.76094203429,1863.3914405985906,7030.467669353686
2017-07-12,14086.994260969965,16070.84775190821,15649.856628140291,22772.66823101334,1983.8534909382452,7122.811602873049
2017-07-14,14164.798707672748,19164.19768739918,15750.194287263237,23330.020992179718,4999.398979726433,7579.826704916481
2017-07-17,14270.60410873476,19723.533376564315,14329.537366911763,20749.793414448905,5452.929267829555,6420.256047537141
2017-07-18,14883.873665725858,20847.696217745874,13802.79292223469,21021.7098619924,5963.822552020016,7218.91693975771
2017-07-19,15525.61332039012,21037.62783599093,14279.006155486783,20603.06151030026,5512.014515600809,6324.055354813478
2017-07-20,14604.450285865722,20712.367640124197,14226.172812181068,19733.815590894377,6107.917354258476,5507.642778713309
2017-07-21,12489.487430398196,16818.631425051757,13387.034824170436,19411.75195206906,4329.143994653561,6024.7171278986225
2017-07-24,11563.728309443935,14712.253836337053,12022.232273533566,17074.790941858653,3148.525526893118,5052.558668325088
2017-07-25,11543.865777584182,15633.042800918573,11932.518360887667,17112.82396617721,4089.1770233343905,5180.305605289543
2017-07-26,11207.975446236514,15818.07175032265,8667.849203138641,13001.55331468494,4610.096304086135,4333.704111546298
2017-07-28,12606.289323140683,17118.872676246705,9161.732223390012,13321.28481359697,4512.583353106022,4159.5525902069585
2017-07-31,12769.575915864905,17143.29724759011,9322.897136333486,13213.65668049799,4373.721331725206,3890.7595441645044
2017-08-01,11280.668160238965,15918.884026964859,9099.872148693805,12965.896109159825,4638.215866725894,3866.02396046602
2017-08-03,12239.294166712743,18000.921729438825,6359.188942046577,9275.335391997889,5761.627562726082,2916.146449951312
2017-08-04,12359.867760751335,18167.341089900165,6681.870965321046,9351.04427493236,5807.47332914883,2669.173309611313
2017-08-07,9857.911032510063,15139.196422000394,6855.107858084766,9367.659052103254,5281.285389490331,2512.551194018488
2017-08-08,9178.177944586281,14098.524745610686,8129.113520627324,12454.883405764867,4920.346801024405,4325.7698851375435
2017-08-09,9807.17064108251,14934.849081049884,7112.907120598097,10511.825056493912,5127.678439967374,3398.9179358958145
2017-08-10,9040.390535645503,14224.229344922496,6623.984700079967,10762.556119320605,5183.838809276993,4138.571419240638
2017-08-11,9419.052184791695,17569.665073910634,3653.6255445926754,6143.433895580258,8150.612889118938,2489.8083509875823
2017-08-18,10197.213704831809,17124.352647626874,3154.8269216906356,4462.482243166429,6927.138942795065,1307.6553214757932
2017-08-21,10304.745584580221,17079.709465179472,3553.5833526199626,5321.547258850814,6774.963880599251,1767.963906230851
2017-08-22,10268.942019330985,17114.66033991849,2530.307640454544,3775.6773821881816,6845.718320587504,1245.3697417336375
2017-08-23,8696.410101863057,14221.1453183578,1992.0634333595729,2868.398707342257,5524.735216494742,876.3352739826839
2017-08-24,9140.044911750618,13672.79906920995,1955.7569397821503,2885.9549990220416,4532.754157459332,930.1980592398913
2017-08-25,11062.651312602096,14106.172626023112,3066.0102192938516,4230.90616814057,3043.5213134210153,1164.8959488467185
2017-08-28,11044.48843677476,14159.547399760482,2911.530809760108,4145.422693439882,3115.0589629857222,1233.8918836797743
2017-08-30,10123.480845493386,13699.52873313326,2918.405656379377,4128.211089583502,3576.047887639874,1209.8054332041252
2017-08-31,10792.067620358528,14629.773338750812,2760.1296080087545,4017.7384131448953,3837.7057183922843,1257.6088051361407
2017-09-05,7998.5347001398,9764.953597534808,2542.671464079492,3384.092543920632,1766.4188973950077,841.42107984114
2017-09-07,11707.713206564766,14946.27002065235,4029.252380834829,7008.40573033129,3238.556814087584,2979.153349496461
2017-09-11,10373.817486296872,13808.694380247853,3661.663890316144,6060.504202100078,3434.876893950981,2398.8403117839343
2017-09-13,11914.747506509275,16692.05780639545,4913.205621105236,8200.816316314189,4777.310299886174,3287.610695208953
2017-09-14,12375.053323982911,17193.48588946323,4736.922362001437,8157.026383814599,4818.43256548032,3420.104021813162
2017-09-15,10953.188634507249,15433.51277734592,4507.250351470592,7867.7380705875485,4480.324142838672,3360.487719116956
2017-09-20,15234.414314550864,21385.760060225064,6882.837422795189,9473.38087206117,6151.3457456742,2590.5434492659815
2017-09-21,12364.516726321308,17535.97842538339,7063.245398837047,11034.542004973882,5171.461699062082,3971.296606136835
2017-09-28,12499.801698903671,16285.127796686711,7056.17314442311,12460.374063844323,3785.3260977830396,5404.200919421213
2017-10-02,16107.652119973245,22240.15601535029,8227.602880393471,12598.464899374627,6132.503895377045,4370.862018981155
2017-10-06,12417.670399831162,19488.769585312137,3329.496016297733,5672.184575481042,7071.0991854809745,2342.688559183309
2017-10-10,13066.130010035977,21433.55128296119,3940.9016552494027,6777.653297083763,8367.421272925214,2836.7516418343607
2017-10-13,13185.9254077142,22304.26881248098,1982.0788212437246,3951.3563918477753,9118.34340476678,1969.2775706040507
2017-10-16,11147.866600055482,18086.779017651035,4883.7326439160115,8423.633307651844,6938.912417595553,3539.9006637358325
2017-10-17,12434.857106163918,19938.639149972827,4921.254797519321,7641.020531808839,7503.782043808909,2719.765734289518
2017-10-20,11948.870301882043,21104.88930991691,4252.259658267595,6438.419985822657,9156.019008034868,2186.1603275550615
2017-10-24,10667.562362714561,16705.59636769622,4664.787257302947,7103.251190681847,6038.034004981659,2438.4639333789
